Country,Industry,Year,Value($m)
China,Manufacturing,2018,10319
China,Manufacturing,2019,12337
China,Manufacturing,2020,12074
China,Manufacturing,2021,13629
China,Wholesale trade,2018,34573
China,Wholesale trade,2019,39318
China,Wholesale trade,2020,41491
China,Wholesale trade,2021,44554
China,Retail trade,2018,13730
China,Retail trade,2019,15607
China,Retail trade,2020,15639
China,Retail trade,2021,18089
China,Other industries,2018,8731
China,Other industries,2019,10222
China,Other industries,2020,11190
China,Other industries,2021,10308
Germany,Manufacturing,2018,2273
Germany,Manufacturing,2019,2346
Germany,Manufacturing,2020,2371
Germany,Manufacturing,2021,2278
Germany,Wholesale trade,2018,10062
Germany,Wholesale trade,2019,10334
Germany,Wholesale trade,2020,9265
Germany,Wholesale trade,2021,9502
Germany,Retail trade,2018,507
Germany,Retail trade,2019,551
Germany,Retail trade,2020,515
Germany,Retail trade,2021,569
Germany,Other industries,2018,1752
Germany,Other industries,2019,1739
Germany,Other industries,2020,1478
Germany,Other industries,2021,1795
India,Manufacturing,2018,1612
India,Manufacturing,2019,1463
India,Manufacturing,2020,1194
India,Manufacturing,2021,1795
India,Wholesale trade,2018,2859
India,Wholesale trade,2019,2261
India,Wholesale trade,2020,2454
India,Wholesale trade,2021,3446
India,Retail trade,2018,627
India,Retail trade,2019,763
India,Retail trade,2020,744
India,Retail trade,2021,964
India,Other industries,2018,405
India,Other industries,2019,397
India,Other industries,2020,331
India,Other industries,2021,479
Japan,Manufacturing,2018,4683
Japan,Manufacturing,2019,3261
Japan,Manufacturing,2020,2185
Japan,Manufacturing,2021,1048
Japan,Wholesale trade,2018,16124
Japan,Wholesale trade,2019,17396
Japan,Wholesale trade,2020,15376
Japan,Wholesale trade,2021,16954
Japan,Retail trade,2018,219
Japan,Retail trade,2019,261
Japan,Retail trade,2020,250
Japan,Retail trade,2021,299
Japan,Other industries,2018,945
Japan,Other industries,2019,1078
Japan,Other industries,2020,1244
Japan,Other industries,2021,914
South Korea,Manufacturing,2018,0
South Korea,Manufacturing,2019,2936
South Korea,Manufacturing,2020,2791
South Korea,Manufacturing,2021,2198
South Korea,Wholesale trade,2018,8501
South Korea,Wholesale trade,2019,7469
South Korea,Wholesale trade,2020,5908
South Korea,Wholesale trade,2021,6005
South Korea,Retail trade,2018,1256
South Korea,Retail trade,2019,1374
South Korea,Retail trade,2020,1306
South Korea,Retail trade,2021,1751
South Korea,Other industries,2018,0
South Korea,Other industries,2019,485
South Korea,Other industries,2020,430
South Korea,Other industries,2021,437
Malaysia,Manufacturing,2018,5153
Malaysia,Manufacturing,2019,5563
Malaysia,Manufacturing,2020,4158
Malaysia,Manufacturing,2021,4065
Malaysia,Wholesale trade,2018,4448
Malaysia,Wholesale trade,2019,5128
Malaysia,Wholesale trade,2020,4352
Malaysia,Wholesale trade,2021,6169
Malaysia,Retail trade,2018,806
Malaysia,Retail trade,2019,913
Malaysia,Retail trade,2020,891
Malaysia,Retail trade,2021,804
Malaysia,Other industries,2018,1029
Malaysia,Other industries,2019,781
Malaysia,Other industries,2020,622
Malaysia,Other industries,2021,699
Singapore,Manufacturing,2018,3696
Singapore,Manufacturing,2019,4153
Singapore,Manufacturing,2020,3318
Singapore,Manufacturing,2021,4052
Singapore,Wholesale trade,2018,2773
Singapore,Wholesale trade,2019,3183
Singapore,Wholesale trade,2020,2951
Singapore,Wholesale trade,2021,2665
Singapore,Retail trade,2018,143
Singapore,Retail trade,2019,169
Singapore,Retail trade,2020,151
Singapore,Retail trade,2021,191
Singapore,Other industries,2018,2717
Singapore,Other industries,2019,3237
Singapore,Other industries,2020,2718
Singapore,Other industries,2021,1831
Taiwan,Manufacturing,2018,1082
Taiwan,Manufacturing,2019,1319
Taiwan,Manufacturing,2020,1506
Taiwan,Manufacturing,2021,1291
Taiwan,Wholesale trade,2018,2246
Taiwan,Wholesale trade,2019,2904
Taiwan,Wholesale trade,2020,2723
Taiwan,Wholesale trade,2021,2638
Taiwan,Retail trade,2018,289
Taiwan,Retail trade,2019,337
Taiwan,Retail trade,2020,327
Taiwan,Retail trade,2021,392
Taiwan,Other industries,2018,642
Taiwan,Other industries,2019,561
Taiwan,Other industries,2020,605
Taiwan,Other industries,2021,656
Thailand,Manufacturing,2018,1772
Thailand,Manufacturing,2019,1740
Thailand,Manufacturing,2020,3803
Thailand,Manufacturing,2021,2179
Thailand,Wholesale trade,2018,12116
Thailand,Wholesale trade,2019,11192
Thailand,Wholesale trade,2020,9117
Thailand,Wholesale trade,2021,10993
Thailand,Retail trade,2018,717
Thailand,Retail trade,2019,792
Thailand,Retail trade,2020,814
Thailand,Retail trade,2021,839
Thailand,Other industries,2018,378
Thailand,Other industries,2019,819
Thailand,Other industries,2020,795
Thailand,Other industries,2021,939
USA,Manufacturing,2018,5311
USA,Manufacturing,2019,6573
USA,Manufacturing,2020,8615
USA,Manufacturing,2021,6646
USA,Wholesale trade,2018,16030
USA,Wholesale trade,2019,17364
USA,Wholesale trade,2020,17308
USA,Wholesale trade,2021,17019
USA,Retail trade,2018,1646
USA,Retail trade,2019,1817
USA,Retail trade,2020,1765
USA,Retail trade,2021,1705
USA,Other industries,2018,6290
USA,Other industries,2019,6463
USA,Other industries,2020,8217
USA,Other industries,2021,8334
